Team,Spread,vig
403Panthers,+3,-110
404Giants,-3,-110
405Bengals,+6,-110
406Falcons,-6,-110
407Jaguars,-4.5,-110
408Lions,+4.5,-110
409Dolphins,+5.5,-110
410Texans,-5.5,-110
411Bills,+2.5,-110
412Steelers,-2.5,-110
413Bears,+2,-110
414Colts,-2,-110
415Buccaneers,-1.5,-110
416Jets,+1.5,-110
417Patriots,+1,-110
418Packers,-1,-110
419Titans,-2.5,-110
420Vikings,+2.5,-110
421Chiefs,-7,-110
422Cardinals,+7,-110
423Broncos,-2,-110
42449ers,+2,-110
425Raiders,-3,-110
426Rams,+3,-110
427Cowboys,+6.5,-110
428Seahawks,-6.5,-110
429Saints,-4,-110
430Chargers,+4,-110
431Ravens,-3,-110
432Commanders,+3,-110
401Browns,+2.5,-115
402Eagles,-2.5,-105
